Question number,Category,English Sentence,Terjemahan Bahasa Malaysia
35,Pragmatist ,"I tend to be attracted to techniques such as network analysis, flow charts, branching programmes, contingency planning, etc.","Saya cenderung tertarik kepada teknik seperti analisis rangkaian, carta alir, program bercabang, dan perancangan kontingensi."
36,Reflector ,It worries me if I have to rush out a piece of work to meet a tight deadline.,Saya rasa terganggu jika perlu menyiapkan kerja dengan tergesa-gesa untuk memenuhi tarikh akhir yang ketat.
37,Pragmatist ,I tend to judge people's ideas on their practical merits.,Saya cenderung menilai idea orang berdasarkan nilai praktikalnya.
38,Activist ,"Quiet, thoughtful people tend to make me feel uneasy.",Orang yang pendiam dan banyak berfikir sering membuat saya rasa tidak selesa.
39,Reflector ,I often get irritated by people who want to rush things.,Saya sering rasa terganggu dengan orang yang suka tergesa-gesa.
40,Activist ,It is more important to enjoy the present moment than to think about the past or future.,Lebih penting untuk menikmati masa kini daripada memikirkan masa lalu atau masa depan.
41,Reflector ,I think that decisions based on a thorough analysis of all the information are sounder than those based on intuition.,Saya fikir keputusan yang dibuat berdasarkan analisis menyeluruh terhadap semua maklumat lebih kukuh daripada yang berdasarkan intuisi.
42,Theorist ,I tend to be a perfectionist.,Saya cenderung menjadi seorang yang mementingkan kesempurnaan (perfectionist).
43,Activist ,In discussions I usually produce lots of spontaneous ideas.,"Dalam perbincangan, saya biasanya menghasilkan banyak idea secara spontan."
44,Pragmatist ,In meetings I put forward practical realistic ideas.,"Dalam mesyuarat, saya mengemukakan idea yang praktikal dan realistik."
45,Activist ,"More often than not, rules are there to be broken.","Selalunya, peraturan dicipta untuk dilanggar."
46,Reflector ,I prefer to stand back from a situation and consider all the perspectives.,Saya lebih suka mengambil langkah ke belakang dan mempertimbangkan semua sudut pandangan.
47,Theorist ,I can often see inconsistencies and weaknesses in other people's arguments.,Saya sering dapat melihat percanggahan dan kelemahan dalam hujah orang lain.
48,Activist ,On balance I talk more than I listen.,"Secara keseluruhan, saya lebih banyak bercakap daripada mendengar."
49,Pragmatist ,"I can often see better, more practical ways to get things done.",Saya sering dapat melihat cara yang lebih baik dan lebih praktikal untuk menyelesaikan sesuatu.
50,Pragmatist ,I think written reports should be short and to the point.,Saya fikir laporan bertulis harus ringkas dan terus kepada inti pati.
51,Theorist ,"I believe that rational, logical thinking should win the day.",Saya percaya pemikiran rasional dan logik seharusnya mengatasi yang lain.
52,Reflector ,I tend to discuss specific things with people rather than engaging in social discussion.,Saya cenderung membincangkan perkara khusus dengan orang lain berbanding berbual secara sosial.
53,Pragmatist ,I like people who approach things realistically rather than theoretically.,Saya suka orang yang mendekati sesuatu secara realistik dan bukan teori semata-mata.
54,Pragmatist ,In discussions I get impatient with irrelevancies and digressions.,"Dalam perbincangan, saya cepat hilang sabar dengan perkara yang tidak relevan atau menyimpang."
55,Reflector ,If I have a report to write I tend to produce lots of drafts before settling on the final version.,"Jika saya perlu menulis laporan, saya biasanya menghasilkan banyak draf sebelum versi akhir."
56,Pragmatist ,I am keen to try things out to see if they work in practice.,Saya berminat untuk mencuba sesuatu bagi melihat sama ada ia berkesan dalam praktik.
57,Theorist ,I am keen to reach answers via a logical approach.,Saya berminat untuk mencari jawapan melalui pendekatan yang logik.
58,Activist ,I enjoy being the one that talks a lot.,Saya suka menjadi orang yang banyak bercakap.
59,Pragmatist ,"In discussions I often find I am the realist, keeping people to the point and avoiding wild speculations.","Dalam perbincangan, saya sering menjadi orang yang realistik, memastikan semua kekal pada topik dan mengelak spekulasi liar."
60,Reflector ,I like to ponder many alternatives before making up my mind.,Saya suka menimbang banyak pilihan sebelum membuat keputusan.
61,Theorist ,In discussions with people I often find I am the most dispassionate and objective.,"Dalam perbincangan, saya sering menjadi orang yang paling tidak berat sebelah dan objektif."
62,Reflector ,"In discussions I'm more likely to adopt a ""low profile"" than to take the lead and do most of the talking.","Dalam perbincangan, saya lebih cenderung mengambil “profil rendah” daripada menjadi ketua atau banyak bercakap."
63,Theorist ,I like to be able to relate current actions to a longer-term bigger picture.,Saya suka mengaitkan tindakan semasa dengan gambaran besar jangka panjang.
64,Activist ,"When things go wrong I am happy to shrug it off and ""put it down to experience"".","Apabila sesuatu tidak berjalan lancar, saya boleh menerimanya dan menganggapnya sebagai pengalaman."
65,Pragmatist ,"I tend to reject wild, spontaneous ideas as being impractical.",Saya cenderung menolak idea liar dan spontan kerana menganggapnya tidak praktikal.
66,Reflector ,It's best to think carefully before taking action.,Lebih baik berfikir dengan teliti sebelum bertindak.
67,Reflector ,On balance I do the listening rather than the talking.,"Secara keseluruhan, saya lebih banyak mendengar daripada bercakap."
68,Theorist ,I tend to be tough on people who find it difficult to adopt a logical approach.,Saya cenderung tegas terhadap orang yang sukar menggunakan pendekatan logik.
69,Pragmatist ,Most times I believe the end justifies the means.,Kebanyakan masa saya percaya bahawa matlamat menghalalkan cara.
70,Pragmatist ,I don't mind hurting people's feelings so long as the job gets done.,Saya tidak kisah melukakan perasaan orang asalkan kerja disiapkan.
71,Activist ,I find the formality of having specific objectives and plans stifling.,Saya merasakan formaliti mempunyai objektif dan rancangan tertentu boleh mengekang kreativiti.
72,Activist ,I'm usually one of the people who puts life into a party.,Saya biasanya antara orang yang menceriakan suasana dalam majlis.
73,Pragmatist ,I do whatever is expedient to get the job done.,Saya akan melakukan apa sahaja yang perlu untuk menyiapkan kerja.
74,Activist ,"I quickly get bored with methodical, detailed work.",Saya cepat bosan dengan kerja yang terperinci dan sistematik.
75,Theorist ,"I am keen on exploring the basic assumptions, principles and theories underpinning things and events.","Saya berminat meneroka andaian, prinsip dan teori asas di sebalik sesuatu perkara atau peristiwa."
76,Reflector ,I'm always interested to find out what people think.,Saya sentiasa berminat untuk mengetahui apa yang orang lain fikirkan.
77,Theorist ,"I like meetings to be run on methodical lines, sticking to laid down agenda, etc.","Saya suka mesyuarat dijalankan secara teratur, mengikut agenda yang ditetapkan."
78,Theorist ,I steer clear of subjective or ambiguous topics.,Saya mengelak daripada topik yang subjektif atau samar-samar.
79,Activist ,I enjoy the drama and excitement of a crisis situation.,Saya menikmati drama dan keseronokan dalam situasi krisis.
80,Pragmatist ,People often find me insensitive to their feelings.,Orang sering menganggap saya tidak sensitif terhadap perasaan mereka.
